,labeled_percent,can_plot,corruption_level,aff_dist_func,aff_sigma,algorithm,dataset,aff_k,aff_mask_func,elapsed_time,experiments,mean_acc,sd_acc
118,0.05,False,0.35,gaussian,0.2,RF,spiral_hard,15.0,knn,0.06266188621520996,20,0.6552,0.04072760461625233
119,0.05,False,0.2,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.05906224250793458,20,0.88575,0.03808526617998093
120,0.1,False,0.1,gaussian,0.2,RF,spiral_hard,15.0,knn,0.09041404724121094,20,0.8912666666666664,0.02123194657951915
121,0.05,False,0.2,gaussian,0.2,RF,spiral,15.0,knn,0.09639382362365724,20,0.7861,0.04749047857787449
122,0.01,False,0.35,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.05643868446350098,20,0.596,0.14325222511360863
123,0.5,False,0.25,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.08395600318908691,20,0.81525,0.009705024471890837
124,0.05,False,0.3,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.08684253692626953,20,0.78495,0.041613068860635594
125,0.1,False,0.35,gaussian,0.2,RF,spiral_hard,15.0,knn,0.06639432907104492,20,0.6722333333333333,0.019874355335456808
126,0.5,False,0.25,gaussian,0.2,RF,spiral_hard,15.0,knn,0.1064462661743164,20,0.7941666666666667,0.006722681343366243
127,0.5,False,0.0,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.09769868850708008,20,0.9994,0.0009165151389911615
128,0.1,False,0.2,gaussian,0.2,RF,spiral_hard,15.0,knn,0.08348369598388672,20,0.8207666666666666,0.02204467685809384
129,0.05,False,0.15,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.08716082572937013,20,0.92405,0.023333398809431947
130,0.05,False,0.2,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.05734872817993164,20,0.8856000000000002,0.04160456705699508
131,0.01,False,0.1,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.0576469898223877,20,0.9017999999999999,0.04313189075382621
132,0.1,False,0.4,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.09653902053833008,20,0.66235,0.02644480100133106
133,0.01,False,0.0,gaussian,0.2,RF,spiral,15.0,knn,0.08771944046020508,20,0.6757333333333333,0.04771508030894309
134,0.01,False,0.15,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.08342504501342772,20,0.9017999999999999,0.04313189075382621
135,0.01,False,0.35,gaussian,0.2,RF,spiral,15.0,knn,0.07741713523864746,20,0.5584999999999999,0.06339816856800974
136,0.1,False,0.25,gaussian,0.2,RF,spiral_hard,15.0,knn,0.07013630867004395,20,0.7703333333333332,0.021349473061413004
137,0.1,False,0.3,gaussian,0.2,RF,spiral_hard,15.0,knn,0.1013338565826416,20,0.7162333333333334,0.024808846988300135
138,0.5,False,0.35,gaussian,0.2,RF,spiral_hard,15.0,knn,0.11560463905334473,20,0.6869666666666666,0.008504835226047745
139,0.01,False,0.4,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.05652785301208496,20,0.6615,0.12129983511942627
140,0.1,False,0.3,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.060483217239379876,20,0.7886,0.0309215135463968
141,0.5,False,0.15,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.10510897636413574,20,0.9035499999999999,0.005766064515768095
142,0.05,False,0.35,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.061849117279052734,20,0.6951,0.05921731165799407
143,0.01,False,0.1,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.0797109603881836,20,0.8991999999999999,0.05728577484856081
144,0.1,False,0.2,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.08470702171325684,20,0.8916999999999999,0.025585347369148623
145,0.5,False,0.2,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.07102298736572266,20,0.86015,0.008199237769451513
146,0.1,False,0.2,gaussian,0.2,RF,spiral,15.0,knn,0.08217310905456543,20,0.8422333333333334,0.023538408329083483
147,0.05,False,0.1,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.05852651596069336,20,0.9501999999999999,0.023320806161022833
148,0.05,False,0.4,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.06019282341003417,20,0.6456500000000001,0.04696091459927073
149,0.01,False,0.3,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.06032204627990723,20,0.6426499999999999,0.10060629950455388
150,0.5,False,0.4,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.13327336311340332,20,0.63555,0.01475626985386212
151,0.5,False,0.1,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.08021426200866699,20,0.9403499999999999,0.00395316329032838
152,0.01,False,0.15,gaussian,0.2,RF,spiral_hard,15.0,knn,0.05971479415893555,20,0.6309,0.04685830888018805
153,0.1,False,0.25,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.08218789100646973,20,0.8603,0.021057302771247798
154,0.5,False,0.15,gaussian,0.2,RF,spiral,15.0,knn,0.10741519927978516,20,0.8964666666666664,0.004427690644618743
155,0.05,False,0.3,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.08548736572265625,20,0.7486,0.0470546490795543
156,0.01,False,0.25,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.054828643798828125,20,0.9017999999999999,0.04313189075382621
157,0.01,False,0.2,gaussian,0.2,RF,spiral,15.0,knn,0.09498310089111328,20,0.6010666666666666,0.048482940871563844
158,0.01,False,0.0,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.06575369834899902,20,0.9952500000000001,0.0035899164335677744
159,0.01,False,0.3,gaussian,0.2,RF,spiral_hard,15.0,knn,0.06013631820678711,20,0.5757666666666668,0.04788471108355523
