,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc
219,gaussian,15.0,knn,0.2,LGC,0.9,False,0.0,spiral_hard,1.0492055416107178,0.05,,,20,0.9721333333333335,0.01567815181851623
220,gaussian,15.0,knn,0.2,LGC,0.99,False,0.0,spiral,6.744133949279785,0.05,,,20,1.0,0.0
221,gaussian,15.0,knn,0.2,LDST,,False,0.25,spiral_hard,43.43169164657593,0.05,99.0,0.75,20,0.8002666666666667,0.2496016737835617
222,gaussian,15.0,knn,0.2,GTAM,,False,0.3,spiral_hard,20.43095731735229,0.05,99.0,0.0,20,0.7687333333333333,0.2685847600541277
223,gaussian,15.0,knn,0.2,LDST,,False,0.25,spiral_hard,11.246156930923462,0.01,99.0,0.25,20,0.6696000000000001,0.3276782568313009
224,gaussian,15.0,knn,0.2,LGC,0.2,False,0.1,spiral_hard,10.481892108917236,0.1,,,20,0.9092666666666667,0.016465317083696446
225,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.2,spiral,4.694540977478027,0.05,,,20,0.9999333333333332,0.00029059326290267957
226,gaussian,15.0,knn,0.2,LGC,0.4,False,0.0,spiral_hard,2.1827831268310547,0.5,,,20,0.9942,0.0011175369742826504
227,gaussian,15.0,knn,0.2,LGC,0.4,False,0.15,spiral_hard,6.843273162841798,0.5,,,20,0.9160999999999999,0.0028850187752133085
228,gaussian,15.0,knn,0.2,LGC,0.9,False,0.1,spiral,6.4723665714263925,0.5,,,20,0.9998666666666667,0.0005811865258054558
229,gaussian,15.0,knn,0.2,LGC,0.99,False,0.3,spiral_hard,8.751786708831787,0.01,,,20,0.6267,0.049825239030479765
230,gaussian,15.0,knn,0.2,LDST,,False,0.0,spiral,40.812273025512695,0.05,99.0,0.5,20,1.0,0.0
231,gaussian,15.0,knn,0.2,LGC,0.2,False,0.2,spiral,9.918257713317873,0.05,,,20,0.8070666666666666,0.023014391632676767
232,gaussian,15.0,knn,0.2,LDST,,False,0.4,spiral_hard,23.93523693084717,0.1,99.0,1.0,20,0.9256333333333335,0.10496400970491426
233,gaussian,15.0,knn,0.2,LGC,0.9,False,0.4,spiral_hard,1.066157579421997,0.05,,,20,0.6218333333333332,0.03318358027699843
234,gaussian,15.0,knn,0.2,LGC,0.9,False,0.4,spiral,2.288094997406006,0.1,,,20,0.6832333333333334,0.028794501789982985
235,gaussian,15.0,knn,0.2,LGC,0.4,False,0.0,spiral_hard,1.178438663482666,0.05,,,20,0.9563333333333333,0.019516944205256914
236,gaussian,15.0,knn,0.2,LGC,0.9,False,0.15,spiral_hard,6.6363818645477295,0.01,,,20,0.7026666666666668,0.06115771959995457
237,gaussian,15.0,knn,0.2,LDST,,False,0.35,spiral_hard,22.00529193878174,0.5,99.0,1.0,20,0.8821000000000001,0.04936902987816463
238,gaussian,15.0,knn,0.2,LGC,0.4,False,0.1,spiral_hard,9.974886178970335,0.1,,,20,0.9177333333333332,0.016029694666808557
